,City,Provience,Pop.,Overall,Violent crime,Property Crime
0,Toronto,ON,2794396,61.1,91.7,49.4
1,Montreal,QC,1762949,78.3,109.1,66.6
2,Peel Region (Mississauga/Brampton),ON,1499917,45,65.9,37
3,Calgary,AB,1305550,77.6,79.7,77.5
4,Ottawa,ON,1017449,54.1,65.3,50
5,Edmonton,AB,981280,110.7,126.7,105.2
6,Winnipeg,MB,758515,144.4,204.5,121.6
7,Québec,QC,733156,53.6,77.6,44.4
8,Vancouver,BC,675218,92,106,87.2
9,Hamilton,ON,569353,65,84.3,57.8
10,Waterloo Region (Kitchener),ON,522888,79.1,98.4,72.1
11,Surrey,BC,518467,98.8,88.6,103.8
12,London,ON,423369,79.7,90.9,75.9
13,Halifax Metropolitan Area,NS,348634,72.2,104.2,60
14,Durham Region (Oshawa/Whitby/Ajax),ON,335949,44.1,60,38.1
15,Windsor,ON,306519,83.8,84.3,84.4
16,Gatineau,QC,291041,66.7,94,56.3
17,Burnaby,BC,270204,76.2,71.1,78.9
18,Saskatoon,SK,264637,126.2,147.1,118.9
19,Richmond,BC,230584,180.1,63.6,228.2
20,Regina,SK,224996,111,125.3,106.2
21,St. John's,NL,185565,81,105.2,72.1
22,Kelowna,BC,181380,150.7,123.3,163
23,"Codiac Region (Moncton, Riverview, Dieppe)",NB,171608,117.9,126.8,115.3
24,Greater Sudbury,ON,165958,82.8,137.9,61.4
25,Barrie,ON,154676,56.7,70.5,51.7
26,Sherbrooke,QC,151157,52.8,74.3,44.6
27,Guelph,ON,144356,60.6,67.3,58.4
28,Niagara Region (St. Catharines),ON,140370,56.9,66.5,53.5
29,Langley Township,BC,137399,77.4,90.8,72.8
30,Kingston,ON,136685,86.5,90,85.8
31,Abbotsford,BC,132300,78,100.3,69.8
32,Trois-Rivières,QC,128057,56.9,84.8,46.2
33,White Rock,BC,109167,81.1,58.7,90.7
34,Delta,BC,108455,60,63,59.3
35,Nanaimo,BC,106079,140.3,147.1,138.7
36,Chatham-Kent,ON,105529,71.3,65.6,74.2
37,Brantford,ON,104413,85.6,125.8,70.3
38,Strathcona County,AB,104330,47.3,38.7,51.2
39,Red Deer,AB,99846,163,163.4,164.2
40,"Cape Breton Region (Sydney, Glace Bay, New Waterford)",NS,98635,56.5,74.6,49.8
41,Thunder Bay,ON,95266,108.9,216,67
42,Lethbridge,AB,92563,134.7,130.4,137.6
43,Kamloops,BC,92442,156.7,138.5,165.3
44,Victoria,BC,92141,157.7,164.5,156.3
45,Saint-Jean-sur-Richelieu,QC,88083,50.4,74.6,41.1
46,Peterborough,ON,84793,77.2,98.2,69.4
47,Chilliwack,BC,81622,129.6,143.4,125.2
48,New Westminster,BC,81044,84.7,85.7,85.1
49,Belleville,ON,75052,84.1,91.3,81.9
50,Sarnia,ON,73944,80,88.1,77.5
51,Airdrie,AB,73578,127.2,73.4,149.8
52,Leeds County (Brockville),ON,69819,47.5,44.1,49.2
53,Prince George,BC,67339,207.1,220.8,203.3
54,Sault Ste. Marie,ON,64923,117.4,136.8,110.7
55,Fredericton,NB,64614,97,85.6,102.4
56,Port Coquitlam,BC,63917,72.4,95.9,63.7
57,Saint John,NB,63447,71.7,94.2,63.4
58,Medicine Hat,AB,63382,81.6,75,84.9
59,Grande Prairie,AB,63172,157.3,135.3,167.5
60,Granby,QC,62624,51.5,70.7,44.2
61,Kings County,NS,60600,69,92.5,60.2
62,Charlottetown,PEI,52390,70.8,76.1,69.3
63,Vernon,BC,51896,148.3,138,153.7
64,North Bay,ON,51433,103.9,141.9,89.6
65,Brandon,MB,50532,120.4,118.8,122.1
66,Memphrémagog Region,QC,50415,41.9,81.9,26.3
67,Joliette Region,QC,49246,57.1,80.2,48.4
68,Courtenay,BC,48917,141.7,137.3,144.7
69,Cornwall,ON,47286,112.9,145.8,100.7
70,Woodstock,ON,46296,91.2,82.4,95.5
71,St. Thomas,ON,45732,80.6,66.6,86.9
72,West Parry Sound,ON,42824,36.6,42.3,34.6
73,Spruce Grove,AB,39348,75.5,63,81.2
74,Shawinigan Region,QC,38930,63,95.8,50.4
75,Rimouski-Neigette Region,QC,38708,36.3,56.4,28.6
76,West Kelowna,BC,38311,90.6,89.1,91.9
77,Campbell River,BC,38108,157.2,157.8,158.3
78,Penticton,BC,36893,189.4,157,203.9
79,Prince Albert,SK,36768,302.2,487.4,230.7
80,Essex County (Lakeshore),ON,36611,25.8,26.8,25.6
81,Mission,BC,36193,123.9,235.9,80.2
82,Port Moody,BC,35951,40.1,25.3,46.4
83,Dufferin (Orangeville),ON,34177,42.5,50.3,39.7
84,Leduc,AB,33505,174.2,106.8,202.6
85,Orillia,ON,33379,101,150.1,82.2
86,Stratford,ON,32878,65.2,59.6,67.9
87,Moose Jaw,SK,32813,121,101.9,129.6
88,Cochrane,AB,31638,78,90.2,73.8
89,Lloydminster,AB,31582,197,179.8,205.5
90,Okotoks,AB,30214,37.5,19,45.2
91,South Simcoe (Innisfil),ON,29464,38.1,55.6,31.4
92,Langley City,BC,28963,229.5,196.6,244.7
93,Timmins,ON,28874,148.5,192.4,132.1
94,Essex County (Leamington),ON,27595,68.5,83.3,63.1
95,Parksville,BC,27330,105.7,91.8,112.2
96,Fort Saskatchewan,AB,26831,133.1,74.5,157.7
97,Southern Georgian Bay (Midland),ON,26246,71.4,86.7,65.9
98,Prince Edward,ON,24735,35.7,42.2,33.5
99,Whitehorse,YT,24513,177,222.6,160.2
100,Duncan,BC,24358,226.4,178.1,247.6
101,Truro,NS,23583,87.4,95,85.1
102,Essex County (Tecumseh),ON,23229,31.7,31.6,32
103,Rouyn-Noranda,QC,23186,72.6,130.5,50.1
104,Collingwood,ON,22983,62.8,88.8,53
105,City of Kawartha Lakes,ON,22367,28.7,36.7,25.7
106,Owen Sound,ON,22318,104.4,119.6,99.2
107,Brockville,ON,22293,107.6,122.6,102.5
108,Magog,QC,22222,43.7,59.4,37.7
109,Squamish,BC,22221,71.4,54.5,78.7
110,Huronia West (Wasaga Beach),ON,22194,55.1,72.5,48.7
111,Port Alberni,BC,21711,58.2,73,52.8
112,Essex County (Kingsville),ON,21552,27.1,22.9,29
113,Chestermere,AB,21425,41.5,41.7,41.8
114,Orillia (Oro-Medonte),ON,21036,22.5,26.3,21.2
115,Beaumont,AB,20779,35.3,38.2,34.4
116,Essex County (Essex),ON,20427,24.5,26.4,24
117,Almaguin Highlands,ON,20274,58.8,86.5,48.2
118,Cranbrook,BC,20008,125.1,143,119
119,Cobourg,ON,19830,68.9,85.1,63
120,Huntsville,ON,19816,39.8,38.9,40.5
121,Yellowknife,NWT,19673,310.4,352.3,296.3
122,New Glasgow Region,NS,19316,152.6,209.6,131.1
123,Corner Brook,NL,19129,77.3,73.9,79.3
124,Rivière-du-Loup Region,QC,19081,40.4,46.3,38.4
125,Oxford (Tillsonburg),ON,18573,66.7,71.7,65.2
126,Camrose,AB,18454,85.5,62.8,95.3
127,Salmon Arm,BC,17706,88.6,63.7,99.2
128,Stony Plain,AB,17253,111.4,113.9,111.3
129,Thetford Mines,QC,17046,66.2,100.7,53
130,Upper Ottawa Valley (Pembroke),ON,16571,98.1,124.4,88.5
131,L'Assomption,QC,16443,30.4,39.5,27
132,Swift Current,SK,16304,39.6,37.4,40.8
133,Sylvan Lake,AB,16142,82.1,74.7,85.8
134,Strathroy-Caradoc,ON,16056,46.9,42.3,49.2
135,Middlesex (Strathroy),ON,16056,66.3,121.3,44.9
136,Bracebridge (Bracebridge),ON,16010,39.6,55.5,33.5
137,Yorkton,SK,15969,164.4,156.4,169
138,Laurentides Region,QC,15768,67.7,95.8,57
139,Summerside,PEI,14952,118.3,126.9,115.8
140,Brooks,AB,14904,98.8,142.3,82.3
141,Terrace,BC,14633,164.6,153.5,170.4
142,Grand Falls-Windsor,NL,14556,78.4,68,83.2
143,Upper Ottawa Valley (Petawawa),ON,14382,23.7,37.2,18.6
144,High River,AB,14119,46.8,61.1,41.4
145,Lanark County (Carleton Place),ON,13940,49,62.2,44.1
146,Strathmore,AB,13851,93,104.5,89.2
147,Oxford (Ingersoll),ON,13607,44.9,45.2,45.2
148,Orillia (Severn),ON,13477,37,47.9,32.9
149,Canmore,AB,13268,86.8,49.7,102.4
150,Middlesex (Thames Centre),ON,13191,35.4,22.2,40.9
151,Lanark County (Mississippi Mills),ON,13163,21.6,22.1,21.6
152,Perth County (North Perth),ON,13130,62.8,52.1,67.7
153,Edmundston,NB,13125,64.8,67.4,64.3
154,Powell River,BC,13116,103.6,110.6,101.7
155,Dawson Creek,BC,12978,209,202.7,213.2
156,Lacombe,AB,12835,56.5,36.6,64.9
157,Wetaskiwin,AB,12438,367.2,450.4,337
158,Warman,SK,12362,117.3,188.7,89.7
159,Thompson,MB,12329,531.4,991.6,352
160,Bracebridge (Gravenhurst),ON,12312,60.6,63.4,60
161,Quesnel,BC,12110,59.7,78.9,52.5
162,Williams Lake,BC,11906,51.2,57.6,49.1
163,Prince Rupert,BC,11814,189.1,300.1,146.3
164,Hawkesbury,ON,11755,84.1,100.7,78.1
165,Sooke,BC,11583,67.5,101.6,54.5
166,Haute-Gaspésie Region,QC,11316,61.7,115,40.9
167,Arnprior,ON,11305,46.2,55.3,42.9
168,Nisichawayasihk (Nelson House),MB,11198,1007.7,1500.2,819.4
169,Nelson,BC,11198,88.6,86.7,90.2
170,Ladysmith,BC,11194,66.7,69.8,66.1
171,Northumberland (Hamilton),ON,11143,15.5,17.1,15
172,East Algoma (Elliot Lake),ON,10998,91.9,143.2,72.1
173,Kenora,ON,10974,128.9,164.8,115.6
174,Weyburn,SK,10883,81.3,78.3,83.2
175,Estevan,SK,10629,79.5,98,72.8
176,Martensville,SK,10499,26.8,24.2,28
177,Morinville,AB,10385,65.7,58,69.3
178,Matane Region,QC,10371,53.8,90.3,39.6
179,Blackfalds,AB,10315,51.3,53.2,51
180,Castlegar,BC,10029,45.1,42.3,46.6
181,Whistler,BC,9974,100.8,156.1,79.5
182,Gander,NL,9918,96.7,110.5,92.1
183,Summerland,BC,9860,80.1,119.7,65
184,Stratford,PEI,9706,31.4,33.4,30.8
185,Hawkesbury (Alfred and Plantagenet),ON,9680,44.6,75.1,32.9
186,Amherst,NS,9548,142.9,141.8,144.5
187,Smiths Falls,ON,9517,99.6,87.5,105.2
188,Orillia (Ramara),ON,9488,28.4,41.1,23.6
189,Sechelt,BC,9434,109.9,83.2,121.6
190,Acton Region,QC,9377,46.8,67.8,38.8
191,South Bruce (Kincardine),ON,9343,51.1,47.4,53.1
192,Whitecourt,AB,9195,84.9,89.7,83.7
193,Hinton,AB,9191,158.6,137,168.6
194,Morden,MB,9103,64.3,45.9,72.2
195,Dufferin (Shelburne),ON,8989,50.5,88.8,35.5
196,Olds,AB,8983,84.1,68.2,91.1
197,Coldstream,BC,8983,30.9,33.6,30.2
198,Taber,AB,8978,77.9,65.8,83.4
199,Montmagny Region,QC,8881,44.6,67.8,35.6
200,Perth County (West Perth),ON,8865,40.8,44.9,39.5
201,Campbellton,NB,8833,78.5,81.1,78.1
202,Bridgewater,NS,8790,103.1,124.4,95.4
203,Hawkesbury (Champlain),ON,8706,40.3,52.1,36
204,Dufferin (Mono),ON,8609,21.5,14,24.7
205,Coaldale,AB,8592,55.6,55.1,56.3
206,Oromocto,NB,8585,79.5,93.5,74.5
207,Shediac,NB,8563,57.2,57.7,57.5
208,Renfrew,ON,8337,63.3,85.6,54.9
